Partlist

Exported from GBA_EMU.sch at 11/21/2017 6:21 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                Device                    Package                                         Library                    Sheet

A        GBA_BTN_CONDUCTIVE   GBA_BTN_CONDUCTIVE        GBA_BUTTON_CONDUCTIVE                           GBA                        1
B        GBA_BTN_CONDUCTIVE   GBA_BTN_CONDUCTIVE        GBA_BUTTON_CONDUCTIVE                           GBA                        1
BT1      ~3V                  BATTERY                   BATTERY                                         GBA                        1
C1       100n                 C-EUC0805                 C0805                                           rcl                        1
C2       10u                  C-EUC0805                 C0805                                           rcl                        1
C3       100n                 C-EUC0805                 C0805                                           rcl                        1
C4       220n                 C-EUC0805                 C0805                                           rcl                        1
C5       10u                  C-EUC0805                 C0805                                           rcl                        1
C6       10u                  C-EUC0805                 C0805                                           rcl                        1
C7       100uF                CPOL-EU153CLV-0405        153CLV-0405                                     rcl                        1
C8       330n                 C-EUC0805                 C0805                                           rcl                        1
C9       47uF                 CPOL-EU153CLV-0405        153CLV-0405                                     rcl                        1
C10      47uF                 CPOL-EU153CLV-0405        153CLV-0405                                     rcl                        1
C11      100n                 C-EUC0805                 C0805                                           rcl                        1
C12      100n                 C-EUC0805                 C0805                                           rcl                        1
C13      10u                  C-EUC0805                 C0805                                           rcl                        1
C14      10u                  C-EUC0805                 C0805                                           rcl                        1
C15      10u                  C-EUC0805                 C0805                                           rcl                        1
C16      100n                 C-EUC0805                 C0805                                           rcl                        1
C17      100n                 C-EUC0805                 C0805                                           rcl                        1
C18      10u                  C-EUC0805                 C0805                                           rcl                        1
C19      22pF                 22PF-50V-5%(0603)         0603-CAP                                        SparkFun-Capacitors        1
C20      22pF                 22PF-50V-5%(0603)         0603-CAP                                        SparkFun-Capacitors        1
C21      1uF                  1UF-25V-10%(0805)"        0805-CAP                                        SparkFun-Capacitors        1
C22      0.1uF                0.1UF-25V(+80/-20%)(0603) 0603-CAP                                        SparkFun-Capacitors        1
CN1                           USBMINIB                  USB-MINIB                                       adafruit                   1
D1       DFLS130L             DFLS130L                  POWERDI_123                                     diode                      1
D2       DFLS130L             DFLS130L                  POWERDI_123                                     diode                      1
D3       DUAL_LED             DUAL_LED                  DUAL_LED                                        GBA                        1
D4       DIODE_DFLS130L       DIODE_DFLS130L            DIODE_POWERDI_123                               custom                     1
D5       IN4001               CGRM4001-G                SOD-123_MINI-SMA                                diode                      1
D6       IN4001               CGRM4001-G                SOD-123_MINI-SMA                                diode                      1
D7       IN4001               CGRM4001-G                SOD-123_MINI-SMA                                diode                      1
DOWN     GBA_BTN_CONDUCTIVE   GBA_BTN_CONDUCTIVE        GBA_BUTTON_CONDUCTIVE                           GBA                        1
IC1      MEGA16U2             ATMEGA32U2-TQFP           TQFP32-08                                       adafruit                   1
ISP1     AVRISP-6             AVRISP-6                  AVRISP                                          adafruit                   1
J1                            M041.27MM                 1X04-1.27MM                                     SparkFun-Connectors        1
J2       AUDIO-JACK2SMD       AUDIO-JACK2SMD            AUDIO-JACK-3.5MM-SMD                            SparkFun-Connectors        1
L1       600                  INDUCTOR0805              0805                                            SparkFun-Passives          1
L4       4.7uH                L-EUWE-TPC                POWER-CHOKE_WE-TPC                              rcl                        1
